Unnamed: 0,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
1010,Blackberry Pie,40 minutos,40 minutos,2 hrs 20 min,8,1 pastel de 9 pulgadas,"4 tazas de moras frescas, 3⁄4 taza de azúcar blanco, dividida, 1⁄2 taza de harina de todo uso, 1 (9 pulgadas) doble corteza lista para usar tarta, 2 cucharadas de leche","Precaliente el horno a 425 grados F (220 grados C).
Combine 3 1/2 tazas de moras con 1/2 taza de azúcar y harina en un tazón grande. Mezcla de cuchara en la corteza de tarta sin hornear. Difundir las bayas restantes de 1/2 taza encima de las bayas endulzadas, y cubrir con la corteza superior. Sellar y cortar los bordes, y cortar las ventas en la corteza superior para que escape vapor.
Cepillar la corteza superior con leche y espolvorear con el azúcar de 1/4 taza restante.
Horno precalentado durante 15 minutos. Reducir la temperatura del horno a 375 grados F (190 grados C) y hornear hasta que el relleno sea blando y la corteza es marrón dorado, un adicional de 20 a 25 minutos. Enfriado en el bastidor de alambre.











Kari",4.6,https://www.allrecipes.com/recipe/12284/blackberry-pie-i/,/Desserts/Pies/Fruit Pies/Blackberry Pie Recipes/,"Total Fat 8g 10%, Saturated Fat 2g 10%, Cholesterol 0mg 0%, Sodium 119mg 5%, Total Carbohydrate 42g 15%, Dietary Fiber 5g 16%, Total Sugars 22g, Protein 3g, Vitamin C 15mg 76%, Calcium 29mg 2%, Iron 1mg 8%, Potassium 145mg 3%","Tiempo de preparación: 40 minutos, Tiempo de cocción: 40 minutos, Tiempo adicional: 1 hrs, Tiempo total: 2 hrs 20 minutos, Servings: 8, Yield: 1 pastel de 9 pulgadas",https://www.allrecipes.com/thmb/9NeVogNdoTHqJDYD3tW91DD09Co=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/675137-blackberry-pie-Kari-1x1-1-d61061deda3645428fb13d9c63281766.jpg
1011,Fácil sabor de naranja de arándano,10 minutos,,2 hrs 10 mins,8,,"1 ombligo medio naranja, 1 (12 onzas) paquete de arándanos frescos, 1⁄2 taza de azúcar blanca, 1⁄8 cucharadita de canela","Grate 2 cucharaditas de zest de naranja; descarte el cáscara restante y la pita de naranja. Divide naranja en secciones.
Colocar secciones anaranjadas, 2 cucharaditas de zest naranja, arándanos, azúcar y canela en un procesador de alimentos; pulsar hasta cortar finamente.
Transfer relish to a bowl. Cubrir y refrigerar hasta que los sabores se hayan mezclado, al menos 2 horas y hasta 3 días.",4.7,https://www.allrecipes.com/recipe/229740/easy-cranberry-orange-relish/,/Side Dish/Sauces y Condimentos/Recetas de sabor/Recetas de sabor de fresa/,"Total Fat 0g 0%, Sodium 1mg 0%, Total Carbohydrate 20g 7%, Dietary Fiber 2g 8%, Total Sugars 16g, Protein 0g, Vitamin C 16mg 80%, Calcium 11mg 1%, Iron 0mg 1%, Potassium 65mg 1%","Tiempo de preparación: 10 minutos, Tiempo adicional: 2 hrs, Tiempo total: 2 hrs 10 mins, Servings: 8",https://www.allrecipes.com/thmb/cizjk5UxVLaAEtlGu2zLO9eGEjw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7512857-easy-cranberry-orange-relish-cooken-mama-4x3-1-7c026eec18514b2e8f56ba0ac637c807.jpg
1012,Por la noche Blueberry Francés Toast,15 minutos,55 minutos,9 hrs 40 mins,10,Cacerola de 1 9x13 pulgadas,"12 rebanadas de pan de día, cortadas en cubos de 1 pulgada, 2 paquetes de queso crema, cortado en cubos de 1 pulgada, 1 taza de arándanos frescos, 12 huevos, batidos, 2 tazas de leche, 1 extracto de vainilla de cucharadita, 1⁄3 taza de jarabe de arce","Preparar la cacerola: Engrasar ligeramente un plato de horneado de 9x13 pulgadas. Organizar 1/2 de los cubos de pan en el plato y la parte superior con cubos de queso crema. Espolvorear las arándanos sobre el queso crema, y luego rematar con cubos de pan restantes.
Huevos de batido, leche, extracto de vainilla y jarabe juntos en un tazón grande hasta que estén bien combinados; verter sobre los cubos de pan. Cubrir y refrigerar durante la noche.
Retire el cacerola del refrigerador unos 30 minutos antes de hornear. Precaliente el horno a 350 grados F (175 grados C).
Cofre para hornear en el horno precalentado, cubierto, durante 30 minutos. Descubre, y sigue horneando hasta que el centro sea firme y la superficie esté ligeramente dorada, de unos 25 a 30 minutos.
Mientras tanto, preparar la salsa de arándanos: Mezclar el azúcar, el agua y el almidón de maíz juntos en una cacerola media; cocer y hervir, revolviendo constantemente, de 3 a 4 minutos. Revuelva en los arándanos, reduzca el calor a bajo, y sumerge hasta que todos los arándanos revientan, unos 10 minutos. Corta la mantequilla.
Servir porciones de cacerola en platos y verter jarabe caliente sobre la parte superior.











Melissa Goff",4.5,https://www.allrecipes.com/recipe/15057/overnight-blueberry-french-toast/,/Breakfast y Brunch/French Toast Recipes/,"Total Fat 25g 32%, Saturated Fat 13g 67%, Cholesterol 279mg 93%, Sodium 451mg 20%, Total Carbohydrate 52g 19%, Dietary Fiber 1g 5%, Total Sugars 33g, Protein 15g, Vitamin C 3mg 15%, Calcium 180mg 14%, Iron 3mg 17%, Potassium 282mg 6%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 55 minutos, Tiempo adicional: 8 hrs 30 minutos, Tiempo total: 9 hrs 40 minutos, Servings: 10, Yield: 1 9x13-inch casserole",https://www.allrecipes.com/thmb/Vby_DF911Ba6adX2sUBHD-8lPDY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/381517-overnight-blueberry-french-toast-Melissa-Goff-1x1-1-a44e7d138fdd4cbbb4194ce5f2fdc858.jpg
1013,Cerraduras recubiertas de chocolate,15 minutos,5 minutos,20 minutos,24,,"16 onzas de chocolate de leche, 2 cucharadas de acortamiento, palillos de dientes, 1 libra de fresas frescas con hojas","Derretir chocolate y acortar en una caldera doble, revolviendo ocasionalmente hasta que esté suave.
Inserte palillos de dientes en la parte superior (puntos de tronco) de las fresas. Sostenga una fresa junto al palillo de dientes y sumérjala en la mezcla de chocolate.
Gire la fresa hacia abajo e inserte el palillo en un bloque Styrofoam o coloque fresa en una hoja de papel depilado; permita que el recubrimiento de chocolate se enfríe. Repita con fresas restantes.











Cathy Van de Moortele",4.8,https://www.allrecipes.com/recipe/21712/chocolate-covered-strawberries/,/Desserts/Fruit Desserts/Strawberry Dessert Recipes/,"Total Fat 7g 9%, Saturated Fat 4g 20%, Cholesterol 6mg 2%, Sodium 31mg 1%, Total Carbohydrate 13g 5%, Dietary Fiber 0g 1%, Total Sugars 11g, Protein 1g, Vitamin C 11mg 56%, Calcium 28mg 2%, Iron 0mg 1%, Potassium 29mg 1%","Tiempo de preparación: 15 minutos, Tiempo de cocción: 5 minutos, Tiempo total: 20 minutos, Servings: 24",https://www.allrecipes.com/thmb/lDvx53UzcT_wBYLvXtpc22hOweA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/845742-chocolate-covered-strawberries-Cathy-Van-de-Moortele-1x1-1-582050714d4045a1b10e2fea756afa95.jpg
1014,Rhubarb y Pie de Fresa,20 minutos,35 minutos,1 hrs 25 mins,8,1 pastel de 9 pulgadas,"1 taza de azúcar blanco, 1⁄2 taza de harina de todo uso, 1 libra de rhubarb, cortado en rodajas de 1/4 pulgadas, 2 perchas de fresas, acolchado y acantonado, 1 pastel de receta para una tarta doble de 9 pulgadas, 2 cucharadas de mantequilla, 1 gran yema de huevo, 2 cucharadas de azúcar blanco","Precaliente el horno a 400 grados F (200 grados C).
En un tazón grande, mezcla la harina y el azúcar. Agregue fresas y remache picado. Arrojar con azúcar y harina y dejar reposar durante 30 minutos.
Vierta llenando en la corteza de tarta preparada. Parte superior con mantequilla y tapa con corteza superior. Borde de sellado de corteza superior e inferior con agua.
Aplica la yema en la parte superior del pastel, usando un cepillo de pasta. Espolvorear con azúcar. Cortar pequeños agujeros en la parte superior para dejar escapar el vapor.
Hornea a 400 grados F (200 grados C), por 35 a 40 minutos, o hasta el bubbly y marrón. Genial.











estudios de comida meredith",4.6,https://www.allrecipes.com/recipe/12612/rhubarb-and-strawberry-pie/,/Desserts/Pies/Fruit Pies/Rhubarb Pie Recipes/,"Total Fat 19g 24%, Saturated Fat 6g 29%, Cholesterol 33mg 11%, Sodium 259mg 11%, Total Carbohydrate 64g 23%, Dietary Fiber 5g 17%, Total Sugars 33g, Protein 5g, Vitamin C 57mg 285%, Calcium 72mg 6%, Iron 2mg 12%, Potassium 341mg 7%","Tiempo de preparación: 20 minutos, Tiempo de cocción: 35 minutos, Tiempo adicional: 30 minutos, Tiempo total: 1 hrs 25 mins, Servings: 8, Yield: 1 pastel de 9 pulgadas",https://www.allrecipes.com/thmb/VxCP_8tBobhnFHAzooLrRu2Yh4M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12612-RhubarbAndStrawberryPie-mfs-4X3-3491-9de1214bfb2040988e0f1acb94b5661c.jpg
1015,Easy Small-Batch Blueberry Jam,5 minutos,30 minutos,35 minutos,16,1 taza,"4 tazas de arándanos frescos, 1 taza de azúcar blanco, 1 cucharada de jugo de limón fresco, 1 pizca de canela terrestre (Opcional)","Mezcla arándanos, azúcar, jugo de limón y canela en una cacerola. Cocinar, revolver constantemente, a fuego medio hasta engrosar, unos 30 minutos.",4.7,https://www.allrecipes.com/recipe/239514/easy-small-batch-blueberry-jam/,/Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Jams and Jellies Recipes/,"Total Fat 0g 0%, Sodium 0mg 0%, Total Carbohydrate 18g 7%, Dietary Fiber 1g 3%, Total Sugars 16g, Protein 0g, Vitamin C 4mg 20%, Calcium 3mg 0%, Iron 0mg 1%, Potassium 30mg 1%","Tiempo de preparación: 5 minutos, Tiempo de cocción: 30 minutos, Tiempo total: 35 minutos, Servings: 16, Yield: 1 taza",https://www.allrecipes.com/thmb/6_lTcQ_vVXFBdwqqFCQ7JkIAZNA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5115974-easy-small-batch-blueberry-jam-Kim-4x3-1-01c688e5e8cb41ae855381532ea6d546.jpg
1016,Derríbate en tu pastel de morsa,25 minutos,50 minutos,1 hrs 15 mins,12,1 pastel cuadrado de 8 pulgadas,"1⁄2 taza de mantequilla, 3⁄4 taza de azúcar blanco, dividido, 1⁄4 de cucharadita de sal, 1 extracto de vainilla de cucharadita, 2 yemas de huevo, 1 1⁄2 tazas de harina de todo uso, 1 cucharada de polvo para hornear, 1⁄3 taza de leche, 1 1⁄2 tazas de arándanos frescos, 1 cucharada de harina de todo uso, 2 claras de huevo, 1 cucharada","Precaliente el horno a 350 grados F (175 grados C). Engrasa y harina una sartén de 8 pulgadas.
Batir la mantequilla y 1/2 taza de azúcar juntos en un tazón grande con una mezcla eléctrica hasta suave y suave; mezclar en vainilla y sal. Añadir yemas de huevo y batir hasta que esté cremoso.
Combine 1 1 1/2 tazas de harina y polvo de horneado en un tazón; añadir alternativamente con leche a la mezcla de crema.
Arándanos con 1 cucharada de harina en un tazón pequeño. Añadir al bateador y doblar suavemente.
Batir los blancos de huevo en un tazón separado hasta que se formen picos suaves. Añadir 1/4 taza restante de azúcar, 1 cucharada a la vez, y batir hasta la forma de picos rígidos. Doble los blancos de huevo en la batuta de tarta.
Vierta el bateador en la cacerola preparada. Espolvorear 1 cucharada de azúcar encima.
Hornea en el horno precalentado hasta que un palillo insertado en el centro salga limpio, unos 50 minutos.",4.5,https://www.allrecipes.com/recipe/7358/melt-in-your-mouth-blueberry-cake/,/Desserts/Cakes/Blueberry Cake Recipes/,"Total Fat 9g 11%, Saturated Fat 5g 26%, Cholesterol 55mg 18%, Sodium 157mg 7%, Total Carbohydrate 29g 11%, Dietary Fiber 1g 3%, Total Sugars 16g, Protein 3g, Vitamin C 2mg 9%, Calcium 40mg 3%, Iron 1mg 5%, Potassium 57mg 1%","Tiempo de preparación: 25 minutos, Tiempo de cocción: 50 minutos, Tiempo total: 1 hrs 15 minutos, Actuaciones: 12, Rendimiento: 1 pastel cuadrado de 8 pulgadas",https://www.allrecipes.com/thmb/BhoV89yE6cTVeaWmQeRdP2frD8A=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/242130-ae5d2ffd9a6849e5a219012bdc5f106b.jpg
1017,Raspberry y Almond Shortbread Thumbprints,30 minutos,15 minutos,45 minutos,36,3 docenas,"1 taza de mantequilla, suavizado, 2⁄3 taza de azúcar blanco, 1 1⁄4 cucharadita de extracto de almendra, dividido, 2 tazas de harina de todo uso, 1⁄2 taza de mermelada sin semillas, 1⁄2 taza de azúcar de los confeccionadores, 1 cucharadita de leche","Precaliente el horno a 350 grados F (175 grados C).
Batir la mantequilla y el azúcar blanco juntos en un tazón mediano hasta que sea cremoso. Mezcla en 1/2 cucharadita de extracto de almendras. Añadir harina y mezclar hasta que la masa se junta.
Forma masa en bolas de 1 1/2 pulgada y lugar en hojas de galletas sin igual de 2 pulgadas de distancia. Usa tu pulgar para presionar y hacer una dentadura en el centro de cada bola, luego llena de mermelada.
Hornea en lotes el horno precalentado hasta que los bordes estén ligeramente dorados, alrededor de 14 a 18 minutos; permite enfriar en la hoja de galletas durante unos minutos.
Mezcle el azúcar, la leche y el resto de extracto de almendra de 3/4 cucharadita juntos en un tazón mediano hasta que esté suave; gotee ligeramente sobre las galletas calientes.











Victoria Jempty/Allrecipes",4.7,https://www.allrecipes.com/recipe/10222/raspberry-and-almond-shortbread-thumbprints/,/Desserts/Nut Dessert Recipes/Almond Dessert Recipes/,"Total Fat 5g 7%, Saturated Fat 3g 17%, Cholesterol 14mg 5%, Sodium 37mg 2%, Total Carbohydrate 14g 5%, Dietary Fiber 0g 1%, Total Sugars 8g, Protein 1g, Calcium 3mg 0%, Iron 0mg 2%, Potassium 9mg 0%","Tiempo de preparación: 30 minutos, Tiempo de cocción: 15 minutos, Tiempo total: 45 minutos, Servings: 36, Yield: 3 docenas",https://www.allrecipes.com/thmb/t0q58TfDf45F-xHs8FKUKtG501w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/10222-raspberry-and-almond-shortbread-thumbprints-ingredients-step-vat-hero-1x1-1-96f4de6348254cdba2755a52a396b1b5.jpg
1018,Las famosas tortitas de arándanos de Todd,10 minutos,15 minutos,1 hrs 25 mins,6,12 panqueques,"1 1⁄4 tazas de harina de todo uso, 1 cucharada de polvo para hornear, 1⁄4 cucharaditas de azúcar blanco, 1⁄2 cucharadita de sal, 1 taza de leche, 1 huevo, 1⁄2 cucharada de mantequilla, fundido, 1⁄2 taza de arándanos congelados, descongelado","Harina de injerto, polvo de horneado, azúcar y sal juntos en un tazón grande. Combine leche y huevo en un tazón pequeño. Mezcla de huevo en la mezcla de harina hasta que se combine. Cortar en mantequilla fundida, luego doblar en arándanos. A un lado durante 1 hora.
Caliente una cuadrícula ligeramente aceitada o sartén antiadherente a fuego medio-alto.
Vierta o cocer el bateador sobre la cuadrícula caliente, utilizando aproximadamente 1/4 taza para cada tortita; cocine hasta que las burbujas aparezcan en la superficie, luego voltee y cocine hasta que el marrón dorado en ambos lados. Servir caliente.











Dianne",4.4,https://www.allrecipes.com/recipe/20177/todds-famous-blueberry-pancakes/,/Breakfast y Brunch/Pancake Recipes/,"Total Fat 3g 4%, Saturated Fat 1g 7%, Cholesterol 37mg 12%, Sodium 397mg 17%, Total Carbohydrate 25g 9%, Dietary Fiber 1g 4%, Total Sugars 4g, Protein 5g, Vitamin C 0mg 2%, Calcium 150mg 12%, Iron 2mg 9%, Potassium 108mg 2%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 15 minutos, Tiempo adicional: 1 hrs, Tiempo total: 1 hrs 25 minutos, Servings: 6, Yield: 12 pancakes",https://www.allrecipes.com/thmb/ecb0XKvcrE7OyxBLX3OVEd30TbE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/686460-todds-famous-blueberry-pancakes-Dianne-1x1-1-9bd040b975634bce884847ce2090de16.jpg
1019,Salsa de fresa fresca,5 minutos,5 minutos,55 minutos,12,3 tazas,"1 1⁄2 libras frambuesas frescas, 1⁄4 taza de azúcar blanca, 1 cucharada de agua, o según sea necesario (Opcional), 2 cucharaditas de jugo de limón, o más al gusto","Combine frambuesas, azúcar, agua y jugo de limón en una cacerola a fuego medio; cocine y revuelva hasta que las frambuesas se descomponen, el azúcar se disuelve y la salsa se calienta a través de 3 a 7 minutos.
Presione la salsa a través de un colador fino para eliminar las semillas. Fresco a temperatura ambiente; tapa con envoltura de plástico y refrigera hasta que esté refrigerado, al menos 45 minutos.",4.8,https://www.allrecipes.com/recipe/241308/fresh-raspberry-sauce/,/Side Dish/Sauces and Condiments/Sauces/Dessert Sauce Recipes/,"Total Fat 0g 0%, Total Carbohydrate 11g 4%, Dietary Fiber 4g 14%, Total Sugars 7g, Protein 1g, Vitamin C 15mg 73%, Calcium 13mg 1%, Iron 0mg 2%, Potassium 88mg 2%","Tiempo de preparación: 5 minutos, Tiempo de cocción: 5 minutos, Tiempo adicional: 45 minutos, Tiempo total: 55 minutos, Serviendo: 12, Rendimiento: 3 tazas",https://www.allrecipes.com/thmb/19H4V5ToXC8NmcIWeg2nHq8kP8E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2063248-f49cf357f5bf4b00be88795ec597ade1.jpg
1020,Fresa Freezer Jam,10 minutos,10 minutos,1 día 30 minutos,80,5 pints,"2 tazas trituradas fresas frescas, 4 tazas de azúcar, 1 (1,75 onzas) paquete de pectina seca, 3⁄4 taza de agua","Mezcla fresas trituradas con azúcar en un tazón y deja reposar durante 10 minutos.
Mientras tanto, mueva la pectina en agua en una cacerola pequeña. Poner a hervir a fuego medio-alto, y hervir por 1 minuto.
Hierve agua hirviendo en fresas. Permitir que la mezcla permanezca durante 3 minutos antes de verter en tarros limpios u otros contenedores de almacenamiento, dejando un poco de espacio en la parte superior para permitir la expansión.
Coloque las tapas en los contenedores y salga a temperatura ambiente durante 24 horas. Coloca en congelador, y almacena congelado hasta que esté listo para usar.",4.3,https://www.allrecipes.com/recipe/51835/strawberry-freezer-jam/,/Side Dish/Sauces and Condiments/Canning and Preserving Recipes/Jams and Jellies Recipes/,"Sodium 0mg 0%, Total Carbohydrate 10g 4%, Dietary Fiber 0g 0%, Total Sugars 10g, Vitamin C 3mg 17%, Calcium 1mg 0%, Potassium 9mg 0%","Tiempo de preparación: 10 minutos, Tiempo de cocción: 10 minutos, Tiempo adicional: 1 día 10 minutos, Tiempo total: 1 día 30 minutos, Servings: 80, Yield: 5 pintas",https://www.allrecipes.com/thmb/MlVlbkKY131Whejq8HXAeL70DWc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/84124-048584768111496c9e4aa06275edab98.jpg
1021,Frutas y Yogurt Smoothie,5 minutos,,5 minutos,2,,"1 taza de fresas, 1 plátano, 1⁄2 taza de yogur, 1⁄4 taza de jugo de piña, 1 1⁄2 cucharaditas de azúcar blanca, 1 cucharadita de jugo de naranja, 1 cucharadita de leche","Combine fresas, plátano, yogur, jugo de piña, azúcar, jugo de naranja y leche en una licuadora; mezclar hasta que esté suave.",4.7,https://www.allrecipes.com/recipe/215189/fruit-and-yogurt-smoothie/,/Bebidas Recetas/Smoothie Recetas/Strawberry/,"Total Fat 1g 2%, Saturated Fat 1g 4%, Cholesterol 4mg 1%, Sodium 45mg 2%, Total Carbohydrate 31g 11%, Dietary Fiber 3g 11%, Total Sugars 22g, Protein 5g, Vitamin C 56mg 278%, Calcium 132mg 10%, Iron 1mg 3%, Potassium 519mg 11%","Tiempo de preparación: 5 minutos, Tiempo total: 5 minutos, Serviciones: 2",https://www.allrecipes.com/thmb/nXTnAdimMBtkQieZhloU45cM1V0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/441727-fruit-and-yogurt-smoothie-Alberta-Rose-4x3-1-aa04390dac11483aaeeec142dff1f6c7.jpg
1022,Fresa de avena Desayuno Smoothie,5 minutos,,5 minutos,2,,"1 taza de leche de soja, 1⁄2 taza de avena enrollada, 14 fresas congeladas, 1 banana, rotas en trozos, 1 1⁄2 cucharaditas de azúcar blanca (Opcional), 1⁄2 taza de extracto de vainilla de cucharadita (Opcional)","Leche de soja, avena, fresas y banana en una licuadora hasta que esté suave. Añadir azúcar y vainilla y mezclar de nuevo hasta que esté suave.
Vierta en gafas y servir.











Alberta Rose",4.4,https://www.allrecipes.com/recipe/23539/strawberry-oatmeal-breakfast-smoothie/,/Breakfast y Brunch/Drinks/,"Total Fat 4g 4%, Saturated Fat 1g 3%, Sodium 63mg 3%, Total Carbohydrate 21g 8%, Dietary Fiber 3g 10%, Protein 7g, Calcium 41mg 3%, Iron 2mg 9%, Potassium 217mg 5%","Tiempo de preparación: 5 minutos, Tiempo total: 5 minutos, Serviciones: 2",https://www.allrecipes.com/thmb/DlPnojTRGNBSBrlP6xliPzdFspI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/409456-strawberry-oatmeal-breakfast-smoothie-Alberta-Rose-1x1-1-6b6d3d2dc43d49a9ac521cffc963fabb.jpg
1023,Sala de espinacas de fresa,10 minutos,,1 hrs 20 mins,4,,"1⁄2 taza de azúcar blanca, 1⁄2 taza de aceite de oliva, 1⁄4 taza de vinagre blanco destilado, 2 cucharadas de semillas de sésamo, 1 cucharada de semillas de adormidera, 1 cucharada de cebolla picada, 1⁄4 cucharadita de paprika, 1⁄4 cucharadita de salsa Worcestershire","Hacer el aderezo: Batir el azúcar, aceite, vinagre, semillas de sésamo, semillas de amapola, cebolla, paprika y Worcestershire en un tazón mediano. Cubrir y relajarse durante 1 hora.
Hacer ensalada: Combine fresas, espinacas y almendras en un tazón grande.
Vierte el aderezo sobre la ensalada; tira al abrigo. Refrigerar durante 10 a 15 minutos antes de servir.",4.8,https://www.allrecipes.com/recipe/14276/strawberry-spinach-salad-i/,/Salad/Green Salad Recipes/Spinach Salad Recipes/,"Total Fat 35g 45%, Saturated Fat 5g 23%, Sodium 63mg 3%, Total Carbohydrate 43g 16%, Dietary Fiber 6g 22%, Total Sugars 34g, Protein 6g, Vitamin C 110mg 552%, Calcium 191mg 15%, Iron 4mg 22%, Potassium 725mg 15%","Tiempo de preparación: 10 minutos, Tiempo adicional: 1 hrs 10 mins, Tiempo total: 1 hrs 20 mins, Servings: 4",https://www.allrecipes.com/thmb/aT5_CFDdxebw2zfdsRRUZ05-j9Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4539063-85cce3a7b5994c82b496b3e8fb2de94c.jpg
1024,Basic Fruit Smoothie,10 minutos,,10 minutos,4,,"1 litro de fresas, acolchado, 2 melocotones frescos - pelados, atascados y rebanados, 1 plátano, rotos en pedazos, 2 tazas de hielo, 1 taza de jugo de naranja-pacha-mango","Combine fresas, melocotones y plátano en una licuadora; mezclar hasta que esté suave. Añadir hielo y verter en jugo; mezclar de nuevo a la consistencia deseada.











estudios de comida meredith",4.4,https://www.allrecipes.com/recipe/23553/basic-fruit-smoothie/,/Bebidas Recetas/Smoothie Recetas/Strawberry/,"Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 16mg 1%, Total Carbohydrate 29g 10%, Dietary Fiber 4g 14%, Total Sugars 20g, Protein 2g, Vitamin C 129mg 644%, Calcium 36mg 3%, Iron 1mg 4%, Potassium 443mg 9%","Tiempo de preparación: 10 minutos, Tiempo total: 10 minutos, Serviciones: 4",https://www.allrecipes.com/thmb/UkeuVPlM5KjA520YuyD87dSDG2E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/23553-basic-fruit-smoothie-ddmfs-1x1-0709-0a157232688a4468be54e8278d9b633f.jpg
1025,Pizza de frutas,25 minutos,10 minutos,1 hrs 35 mins,10,1 pizza de frutas,"1⁄4 tazas de harina de todo uso, 1 cucharadita de crema de tartar, 1⁄2 cucharadita de bicarbonato de sodio, 1⁄4 de cucharadita de sal, 1⁄2 taza de mantequilla, ablandada, 1⁄4 tazas de azúcar blanca, dividida, 1 huevo grande, 1 (8 onza) paquete de queso crema, 2 cucharaditas de vainilla extracto, 1⁄2 taza de ar más","Precaliente el horno a 350 grados F (175 grados C).
Hacer la corteza de galletas: Combine la harina, la crema de tartar, hornear soda y sal en un tazón mediano y dejar a un lado. Crema juntos mantequilla y 3/4 taza de azúcar hasta que se suaviza en un tazón grande. Añadir en huevo y batir bien. Colocar ingredientes secos en la mezcla cremosa hasta que se haya mezclado. Presione la masa en una sartén de pizza sin grasa.
Hornea en el horno precalentado hasta que esté ligeramente dorado, de 8 a 10 minutos. Genial.
Preparar el relleno: Batir el queso crema con el resto de 1/2 taza de azúcar y vainilla en un tazón grande hasta la luz y suave. Esparce uniformemente sobre la parte superior de la corteza refrigerada.
Arregle las arándanos, las fresas y el plátano encima del relleno, y relájese.











Dotdash Meredith Food Studios",4.7,https://www.allrecipes.com/recipe/12604/fruit-pizza-i/,/Desserts/Specialty Dessert Recipes/Fruit Pizza Recipes/,"Total Fat 18g 23%, Saturated Fat 11g 55%, Cholesterol 68mg 23%, Sodium 251mg 11%, Total Carbohydrate 41g 15%, Dietary Fiber 1g 4%, Protein 4g, Vitamin C 6mg 31%, Calcium 28mg 2%, Iron 1mg 7%, Potassium 149mg 3%","Tiempo de preparación: 25 minutos, Tiempo de cocción: 10 minutos, Tiempo adicional: 1 hrs, Tiempo total: 1 hrs 35 minutos, Servings: 10, Yield: 1 pizza de frutas",https://www.allrecipes.com/thmb/pu9g-iEcIPQkwYHMxatoMtINJiA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12604-fruit-pizza-ddmfs-0030-1x1-1-8a8845b4ccf84cc4a66714baf28fb7f8.jpg
1026,Virgen Fresa Daiquiri,5 minutos,,5 minutos,1,,"2 fresas grandes, acolchadas, 1⁄4 taza de azúcar blanca, 3⁄4 taza de soda de limón refrigerada, 1 cucharada de jugo de limón, 4 cubos de hielo","Combine fresas, azúcar, soda de limón y jugo de limón en el recipiente de una licuadora. Añadir hielo y mezclar hasta que esté suave.
Vierta en un cristal elegante para servir.",4.2,https://www.allrecipes.com/recipe/107945/virgin-strawberry-daiquiri/,/Bebidas Recetas / Recetas de Mocktail/,"Total Fat 0g 0%, Sodium 25mg 1%, Total Carbohydrate 74g 27%, Dietary Fiber 1g 3%, Total Sugars 52g, Protein 0g, Vitamin C 28mg 141%, Calcium 14mg 1%, Iron 0mg 2%, Potassium 78mg 2%","Tiempo de preparación: 5 minutos, Tiempo total: 5 minutos, Serviciones: 1",https://www.allrecipes.com/thmb/Y6EDa06F-iKNP3A1JmgAMTAmvhk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5956872-e5efa2e63a544669aea43c53b716bc35.jpg
